train/mean_ep_reward,stability/std_episode_reward,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/std_ep_reward,stability/avg_episode_reward,train/mean_ep_length,eval/success_rate,timesteps,rollout/success_rate,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/std,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/learning_rate
-1.9057445000000002,0.1420553696044257,50.0,82944,-1.6,0.1420553696044257,-1.9057445000000002,50.0,1.0,82944,,,,,,,0.9575886726379395,-0.00917448088148376,-5.505757845938206,0.31668394804000854,0.006963449879549444,0.09466552734375,0.009264588,0.2,-0.06736287474632263,80,0.0001
-1.8175364999999999,0.12647186305360572,50.0,83968,-1.7,0.12647186305360572,-1.8175364999999999,50.0,1.0,83968,,,,,,,,,,,,,,,,,
-1.8199009,0.17002802429332056,50.0,84992,-1.4,0.17002802429332056,-1.8199009,50.0,1.0,84992,,,,,,,,,,,,,,,,,
-1.8778714,0.15291743147934436,50.0,86016,-1.55,0.15291743147934436,-1.8778714,50.0,1.0,86016,,,,,,,,,,,,,,,,,
,,,86016,,,,,,,0.8700000047683716,50.0,173,-1.83209713,21,496,,,,,,,,,,,
-1.7233462,0.16361870822787958,50.0,87040,-1.65,0.16361870822787958,-1.7233462,50.0,1.0,87040,,,,,,,0.9550633430480957,-0.009265555010642856,-5.494188256561756,0.23319441080093384,0.0058671504448284395,0.09912109375,0.009989067,0.2,-0.06623902916908264,84,0.0001
-1.8299607999999998,0.15023518541793066,50.0,88064,-1.9,0.15023518541793066,-1.8299607999999998,50.0,1.0,88064,,,,,,,,,,,,,,,,,
-1.834578,0.17354157552586638,50.0,89088,-1.9,0.17354157552586638,-1.834578,50.0,1.0,89088,,,,,,,,,,,,,,,,,
-1.7452783,0.11626652978312375,50.0,90112,-1.7,0.11626652978312375,-1.7452783,50.0,1.0,90112,,,,,,,,,,,,,,,,,
,,,90112,,,,,,,0.8899999856948853,50.0,169,-1.80223841,22,531,,,,,,,,,,,
-1.7615019,0.17009680225533347,50.0,91136,-1.5,0.17009680225533347,-1.7615019,50.0,1.0,91136,,,,,,,0.9529225826263428,-0.009518824001133908,-5.483928464353085,0.061208486557006836,0.005137110645591747,0.083984375,0.008473655,0.2,-0.07449868321418762,88,0.0001
-1.7210335,0.141295721792452,50.0,92160,-2.05,0.141295721792452,-1.7210335,50.0,1.0,92160,,,,,,,,,,,,,,,,,
-1.7951065,0.1440604660142747,50.0,93184,-1.55,0.1440604660142747,-1.7951065,50.0,1.0,93184,,,,,,,,,,,,,,,,,
-1.7919734999999999,0.10371284083106584,50.0,94208,-1.7,0.10371284083106584,-1.7919734999999999,50.0,1.0,94208,,,,,,,,,,,,,,,,,
,,,94208,,,,,,,0.8899999856948853,50.0,171,-1.7367027599999998,23,548,,,,,,,,,,,
-1.6079796000000002,0.1793007981043029,50.0,95232,-2.05,0.1793007981043029,-1.6079796000000002,50.0,1.0,95232,,,,,,,0.9506218433380127,-0.008636985272460151,-5.474501848220825,0.20017796754837036,0.004857498592173215,0.0888671875,0.008312467,0.2,-0.06531473249197006,92,0.0001
-1.6325425,0.09831818454106035,50.0,96256,-1.65,0.09831818454106035,-1.6325425,50.0,1.0,96256,,,,,,,,,,,,,,,,,
-1.6325689,0.12731735775647407,50.0,97280,-1.7,0.12731735775647407,-1.6325689,50.0,1.0,97280,,,,,,,,,,,,,,,,,
-1.6493831,0.16130024346258753,50.0,98304,-1.6,0.16130024346258753,-1.6493831,50.0,1.0,98304,,,,,,,,,,,,,,,,,
,,,98304,,,,,,,0.949999988079071,50.0,173,-1.6701333299999999,24,566,,,,,,,,,,,
-1.6714809,0.0915224719557443,50.0,99328,-1.45,0.0915224719557443,-1.6714809,50.0,1.0,99328,,,,,,,0.9469479322433472,-0.0077657329820794985,-5.461670607328415,0.43498706817626953,0.004362636878795456,0.07354736328125,0.008923687,0.2,-0.051958803087472916,96,0.0001
-1.6315844,0.13190446620960186,50.0,100352,-1.65,0.13190446620960186,-1.6315844,50.0,1.0,100352,,,,,,,,,,,,,,,,,
-1.6555003,0.07816329882246528,50.0,101376,-1.85,0.07816329882246528,-1.6555003,50.0,1.0,101376,,,,,,,,,,,,,,,,,
-1.5971099,0.15878727417740376,50.0,102400,-1.65,0.15878727417740376,-1.5971099,50.0,1.0,102400,,,,,,,,,,,,,,,,,
,,,102400,,,,,,,0.949999988079071,50.0,175,-1.62577585,25,583,,,,,,,,,,,
